player_id,gw_id,opp_team_id,own_team_id,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,is_home,effective_gw_id,fixture_opp_team_id,home_flag,own_id,own_name,own_strength,own_strength_attack_away,own_strength_attack_home,own_strength_defence_away,own_strength_defence_home,own_strength_overall_away,own_strength_overall_home,opp_id,opp_name,opp_strength,opp_strength_attack_away,opp_strength_attack_home,opp_strength_defence_away,opp_strength_defence_home,opp_strength_overall_away,opp_strength_overall_home,position,was_home_lag_1,was_home_lag_2,was_home_lag_3,team_h_score_lag_1,team_h_score_lag_2,team_h_score_lag_3,team_a_score_lag_1,team_a_score_lag_2,team_a_score_lag_3,goals_scored_lag_1,goals_scored_lag_2,goals_scored_lag_3,assists_lag_1,assists_lag_2,assists_lag_3,clean_sheets_lag_1,clean_sheets_lag_2,clean_sheets_lag_3,goals_conceded_lag_1,goals_conceded_lag_2,goals_conceded_lag_3,own_goals_lag_1,own_goals_lag_2,own_goals_lag_3,penalties_saved_lag_1,penalties_saved_lag_2,penalties_saved_lag_3,penalties_missed_lag_1,penalties_missed_lag_2,penalties_missed_lag_3,yellow_cards_lag_1,yellow_cards_lag_2,yellow_cards_lag_3,red_cards_lag_1,red_cards_lag_2,red_cards_lag_3,saves_lag_1,saves_lag_2,saves_lag_3,bonus_lag_1,bonus_lag_2,bonus_lag_3,minutes_lag_1,minutes_lag_2,minutes_lag_3,bps_lag_1,bps_lag_2,bps_lag_3,influence_lag_1,influence_lag_2,influence_lag_3,creativity_lag_1,creativity_lag_2,creativity_lag_3,threat_lag_1,threat_lag_2,threat_lag_3,ict_index_lag_1,ict_index_lag_2,ict_index_lag_3,selected_lag_1,selected_lag_2,selected_lag_3,transfers_in_lag_1,transfers_in_lag_2,transfers_in_lag_3,transfers_out_lag_1,transfers_out_lag_2,transfers_out_lag_3,transfers_balance_lag_1,transfers_balance_lag_2,transfers_balance_lag_3,opp_strength_lag_1,opp_strength_lag_2,opp_strength_lag_3,opp_strength_overall_home_lag_1,opp_strength_overall_home_lag_2,opp_strength_overall_home_lag_3,opp_strength_overall_away_lag_1,opp_strength_overall_away_lag_2,opp_strength_overall_away_lag_3,opp_strength_attack_home_lag_1,opp_strength_attack_home_lag_2,opp_strength_attack_home_lag_3,opp_strength_attack_away_lag_1,opp_strength_attack_away_lag_2,opp_strength_attack_away_lag_3,opp_strength_defence_home_lag_1,opp_strength_defence_home_lag_2,opp_strength_defence_home_lag_3,opp_strength_defence_away_lag_1,opp_strength_defence_away_lag_2,opp_strength_defence_away_lag_3,own_xg_lag_1,own_xg_lag_2,own_xg_lag_3,own_xga_lag_1,own_xga_lag_2,own_xga_lag_3,own_npxg_lag_1,own_npxg_lag_2,own_npxg_lag_3,own_npxga_lag_1,own_npxga_lag_2,own_npxga_lag_3,own_deep_lag_1,own_deep_lag_2,own_deep_lag_3,own_deep_allowed_lag_1,own_deep_allowed_lag_2,own_deep_allowed_lag_3,own_xpts_lag_1,own_xpts_lag_2,own_xpts_lag_3,own_npxgd_lag_1,own_npxgd_lag_2,own_npxgd_lag_3,own_ppda_att_lag_1,own_ppda_att_lag_2,own_ppda_att_lag_3,own_ppda_def_lag_1,own_ppda_def_lag_2,own_ppda_def_lag_3,own_ppda_allowed_att_lag_1,own_ppda_allowed_att_lag_2,own_ppda_allowed_att_lag_3,own_ppda_allowed_def_lag_1,own_ppda_allowed_def_lag_2,own_ppda_allowed_def_lag_3,opp_xg_lag_1,opp_xg_lag_2,opp_xg_lag_3,opp_xga_lag_1,opp_xga_lag_2,opp_xga_lag_3,opp_npxg_lag_1,opp_npxg_lag_2,opp_npxg_lag_3,opp_npxga_lag_1,opp_npxga_lag_2,opp_npxga_lag_3,opp_deep_lag_1,opp_deep_lag_2,opp_deep_lag_3,opp_deep_allowed_lag_1,opp_deep_allowed_lag_2,opp_deep_allowed_lag_3,opp_xpts_lag_1,opp_xpts_lag_2,opp_xpts_lag_3,opp_npxgd_lag_1,opp_npxgd_lag_2,opp_npxgd_lag_3,opp_ppda_att_lag_1,opp_ppda_att_lag_2,opp_ppda_att_lag_3,opp_ppda_def_lag_1,opp_ppda_def_lag_2,opp_ppda_def_lag_3,opp_ppda_allowed_att_lag_1,opp_ppda_allowed_att_lag_2,opp_ppda_allowed_att_lag_3,opp_ppda_allowed_def_lag_1,opp_ppda_allowed_def_lag_2,opp_ppda_allowed_def_lag_3,season_id,team,global_gw_id,reg_target,star_target
1,6,9,1,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,49.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,,0.0,0.0,,0.0,6.0,0.0,51023.0,,,,1.0,0.0,0.0,0.0,-3184.0,276.0,3460.0,68.0,True,,0.0,True,6,9.0,True,1,Arsenal,4,1210,1160,1230,1190,1250,1240,9,Leicester,4,1230,1190,1230,1200,1240,1200,3,False,True,False,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53689.0,56403.0,59793.0,616.0,647.0,675.0,4840.0,5971.0,12126.0,-4224.0,-5324.0,-11451.0,5.0,3.0,5.0,1330.0,1140.0,1330.0,1350.0,1160.0,1350.0,1250.0,1130.0,1250.0,1310.0,1160.0,1310.0,1330.0,1020.0,1320.0,1340.0,1050.0,1340.0,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,3.0,4.0,3.0,7.0,3.0,11.0,0.8435999999999999,1.8925,0.3972,-0.5919079999999999,0.5221370000000001,-1.56017,346.0,167.0,502.0,17.0,12.0,14.0,311.0,445.0,256.0,23.0,23.0,29.0,0.671595,0.456022,2.86721,0.873776,2.03227,1.44633,0.671595,0.456022,0.583704,0.873776,2.03227,1.44633,4.0,2.0,3.0,7.0,3.0,5.0,1.1142,0.3094,2.4334,-0.20218099999999994,-1.576248,-0.8626259999999999,210.0,161.0,301.0,24.0,22.0,12.0,212.0,376.0,144.0,23.0,11.0,27.0,2,1.0,206,0.0,0
2,6,9,1,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,49.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,,0.0,0.0,,0.0,6.0,0.0,6429.0,,,,1.0,0.0,0.0,0.0,-392.0,182.0,574.0,49.0,True,,0.0,True,6,9.0,True,1,Arsenal,4,1210,1160,1230,1190,1250,1240,9,Leicester,4,1230,1190,1230,1200,1240,1200,0,False,True,False,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6624.0,6274.0,6874.0,233.0,38.0,9673.0,400.0,777.0,11314.0,-167.0,-739.0,-1641.0,5.0,3.0,5.0,1330.0,1140.0,1330.0,1350.0,1160.0,1350.0,1250.0,1130.0,1250.0,1310.0,1160.0,1310.0,1330.0,1020.0,1320.0,1340.0,1050.0,1340.0,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,3.0,4.0,3.0,7.0,3.0,11.0,0.8435999999999999,1.8925,0.3972,-0.5919079999999999,0.5221370000000001,-1.56017,346.0,167.0,502.0,17.0,12.0,14.0,311.0,445.0,256.0,23.0,23.0,29.0,0.671595,0.456022,2.86721,0.873776,2.03227,1.44633,0.671595,0.456022,0.583704,0.873776,2.03227,1.44633,4.0,2.0,3.0,7.0,3.0,5.0,1.1142,0.3094,2.4334,-0.20218099999999994,-1.576248,-0.8626259999999999,210.0,161.0,301.0,24.0,22.0,12.0,212.0,376.0,144.0,23.0,11.0,27.0,2,1.0,206,0.0,0
3,6,9,1,0.0,,,,0.0,12.0,0.0,,,2.5,,,,,49.0,,0.0,0.0,1.3,,8.8,,,,,48.0,,,0.0,,0.0,0.0,,0.0,6.0,0.0,79892.0,,,,1.0,0.0,2.0,1.0,2396.0,6821.0,4425.0,55.0,True,,0.0,True,6,9.0,True,1,Arsenal,4,1210,1160,1230,1190,1250,1240,9,Leicester,4,1230,1190,1230,1200,1240,1200,0,False,True,False,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,12.0,13.0,11.0,14.6,23.0,20.2,3.3,0.8,3.2,19.0,0.0,0.0,3.7,2.4,2.3,73952.0,69592.0,61983.0,5063.0,6180.0,7407.0,6195.0,4916.0,6696.0,-1132.0,1264.0,711.0,5.0,3.0,5.0,1330.0,1140.0,1330.0,1350.0,1160.0,1350.0,1250.0,1130.0,1250.0,1310.0,1160.0,1310.0,1330.0,1020.0,1320.0,1340.0,1050.0,1340.0,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,3.0,4.0,3.0,7.0,3.0,11.0,0.8435999999999999,1.8925,0.3972,-0.5919079999999999,0.5221370000000001,-1.56017,346.0,167.0,502.0,17.0,12.0,14.0,311.0,445.0,256.0,23.0,23.0,29.0,0.671595,0.456022,2.86721,0.873776,2.03227,1.44633,0.671595,0.456022,0.583704,0.873776,2.03227,1.44633,4.0,2.0,3.0,7.0,3.0,5.0,1.1142,0.3094,2.4334,-0.20218099999999994,-1.576248,-0.8626259999999999,210.0,161.0,301.0,24.0,22.0,12.0,212.0,376.0,144.0,23.0,11.0,27.0,2,1.0,206,1.0,0
4,6,9,1,0.0,,,,0.0,12.0,0.0,,,16.0,,,,,49.0,,1.0,0.0,3.5,,6.6,,,,,90.0,,,0.0,,0.0,0.0,,0.0,6.0,0.0,1193283.0,,,,1.0,0.0,12.0,2.0,-235512.0,14819.0,250331.0,118.0,True,,0.0,True,6,9.0,True,1,Arsenal,4,1210,1160,1230,1190,1250,1240,9,Leicester,4,1230,1190,1230,1200,1240,1200,3,False,True,False,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,7.0,10.0,5.0,8.6,9.4,4.2,29.9,4.6,0.9,2.0,30.0,4.0,4.1,4.4,0.9,1397443.0,2000213.0,2046859.0,29415.0,106551.0,50656.0,612226.0,226718.0,1018211.0,-582811.0,-120167.0,-967555.0,5.0,3.0,5.0,1330.0,1140.0,1330.0,1350.0,1160.0,1350.0,1250.0,1130.0,1250.0,1310.0,1160.0,1310.0,1330.0,1020.0,1320.0,1340.0,1050.0,1340.0,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,3.0,4.0,3.0,7.0,3.0,11.0,0.8435999999999999,1.8925,0.3972,-0.5919079999999999,0.5221370000000001,-1.56017,346.0,167.0,502.0,17.0,12.0,14.0,311.0,445.0,256.0,23.0,23.0,29.0,0.671595,0.456022,2.86721,0.873776,2.03227,1.44633,0.671595,0.456022,0.583704,0.873776,2.03227,1.44633,4.0,2.0,3.0,7.0,3.0,5.0,1.1142,0.3094,2.4334,-0.20218099999999994,-1.576248,-0.8626259999999999,210.0,161.0,301.0,24.0,22.0,12.0,212.0,376.0,144.0,23.0,11.0,27.0,2,1.0,206,2.0,0
5,6,9,1,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,49.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,,0.0,0.0,,0.0,6.0,0.0,15289.0,,,,1.0,0.0,0.0,0.0,-1068.0,280.0,1348.0,48.0,True,,0.0,True,6,9.0,True,1,Arsenal,4,1210,1160,1230,1190,1250,1240,9,Leicester,4,1230,1190,1230,1200,1240,1200,0,False,True,False,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16059.0,16771.0,20173.0,518.0,218.0,449.0,1962.0,4067.0,8667.0,-1444.0,-3849.0,-8218.0,5.0,3.0,5.0,1330.0,1140.0,1330.0,1350.0,1160.0,1350.0,1250.0,1130.0,1250.0,1310.0,1160.0,1310.0,1330.0,1020.0,1320.0,1340.0,1050.0,1340.0,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,3.0,4.0,3.0,7.0,3.0,11.0,0.8435999999999999,1.8925,0.3972,-0.5919079999999999,0.5221370000000001,-1.56017,346.0,167.0,502.0,17.0,12.0,14.0,311.0,445.0,256.0,23.0,23.0,29.0,0.671595,0.456022,2.86721,0.873776,2.03227,1.44633,0.671595,0.456022,0.583704,0.873776,2.03227,1.44633,4.0,2.0,3.0,7.0,3.0,5.0,1.1142,0.3094,2.4334,-0.20218099999999994,-1.576248,-0.8626259999999999,210.0,161.0,301.0,24.0,22.0,12.0,212.0,376.0,144.0,23.0,11.0,27.0,2,1.0,206,0.0,0
6,6,9,1,0.0,,,,0.0,-3.0,0.0,,,21.4,,,,,49.0,,1.0,0.0,7.0,,2.4,,,,,90.0,,,0.0,,0.0,0.0,,0.0,6.0,0.0,290288.0,,,,1.0,0.0,46.0,1.0,-55111.0,7838.0,62949.0,85.0,True,,1.0,True,6,9.0,True,1,Arsenal,4,1210,1160,1230,1190,1250,1240,9,Leicester,4,1230,1190,1230,1200,1240,1200,1,False,True,False,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,73.0,2.0,0.0,22.0,0.0,0.0,40.4,0.0,0.0,11.4,0.0,0.0,55.0,0.0,0.0,10.7,339461.0,395242.0,340935.0,24370.0,65917.0,47809.0,83103.0,36570.0,69661.0,-58733.0,29347.0,-21852.0,5.0,3.0,5.0,1330.0,1140.0,1330.0,1350.0,1160.0,1350.0,1250.0,1130.0,1250.0,1310.0,1160.0,1310.0,1330.0,1020.0,1320.0,1340.0,1050.0,1340.0,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,3.0,4.0,3.0,7.0,3.0,11.0,0.8435999999999999,1.8925,0.3972,-0.5919079999999999,0.5221370000000001,-1.56017,346.0,167.0,502.0,17.0,12.0,14.0,311.0,445.0,256.0,23.0,23.0,29.0,0.671595,0.456022,2.86721,0.873776,2.03227,1.44633,0.671595,0.456022,0.583704,0.873776,2.03227,1.44633,4.0,2.0,3.0,7.0,3.0,5.0,1.1142,0.3094,2.4334,-0.20218099999999994,-1.576248,-0.8626259999999999,210.0,161.0,301.0,24.0,22.0,12.0,212.0,376.0,144.0,23.0,11.0,27.0,2,1.0,206,1.0,0
7,6,9,1,0.0,,,,0.0,9.0,0.0,,,1.0,,,,,49.0,,1.0,0.0,0.9,,7.6,,,,,41.0,,,0.0,,0.0,0.0,,0.0,6.0,0.0,1197.0,,,,1.0,0.0,0.0,1.0,78.0,155.0,77.0,50.0,True,,0.0,True,6,9.0,True,1,Arsenal,4,1210,1160,1230,1190,1250,1240,9,Leicester,4,1230,1190,1230,1200,1240,1200,0,False,True,False,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1016.0,1030.0,57.0,51.0,9679.0,96.0,130.0,9781.0,-39.0,-79.0,-102.0,5.0,3.0,5.0,1330.0,1140.0,1330.0,1350.0,1160.0,1350.0,1250.0,1130.0,1250.0,1310.0,1160.0,1310.0,1330.0,1020.0,1320.0,1340.0,1050.0,1340.0,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,3.0,4.0,3.0,7.0,3.0,11.0,0.8435999999999999,1.8925,0.3972,-0.5919079999999999,0.5221370000000001,-1.56017,346.0,167.0,502.0,17.0,12.0,14.0,311.0,445.0,256.0,23.0,23.0,29.0,0.671595,0.456022,2.86721,0.873776,2.03227,1.44633,0.671595,0.456022,0.583704,0.873776,2.03227,1.44633,4.0,2.0,3.0,7.0,3.0,5.0,1.1142,0.3094,2.4334,-0.20218099999999994,-1.576248,-0.8626259999999999,210.0,161.0,301.0,24.0,22.0,12.0,212.0,376.0,144.0,23.0,11.0,27.0,2,1.0,206,1.0,0
8,6,9,1,0.0,,,,0.0,11.0,0.0,,,0.0,,,,,49.0,,1.0,0.0,1.2,,12.0,,,,,90.0,,,0.0,,0.0,0.0,,0.0,6.0,1.0,693944.0,,,,1.0,0.0,0.0,2.0,-6968.0,29541.0,36509.0,50.0,True,,0.0,True,6,9.0,True,1,Arsenal,4,1210,1160,1230,1190,1250,1240,9,Leicester,4,1230,1190,1230,1200,1240,1200,2,False,True,False,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,1.0,90.0,90.0,90.0,19.0,12.0,22.0,31.6,11.2,35.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.1,3.6,689120.0,675971.0,605224.0,58395.0,67684.0,57089.0,60165.0,35351.0,90174.0,-1770.0,32333.0,-33085.0,5.0,3.0,5.0,1330.0,1140.0,1330.0,1350.0,1160.0,1350.0,1250.0,1130.0,1250.0,1310.0,1160.0,1310.0,1330.0,1020.0,1320.0,1340.0,1050.0,1340.0,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,3.0,4.0,3.0,7.0,3.0,11.0,0.8435999999999999,1.8925,0.3972,-0.5919079999999999,0.5221370000000001,-1.56017,346.0,167.0,502.0,17.0,12.0,14.0,311.0,445.0,256.0,23.0,23.0,29.0,0.671595,0.456022,2.86721,0.873776,2.03227,1.44633,0.671595,0.456022,0.583704,0.873776,2.03227,1.44633,4.0,2.0,3.0,7.0,3.0,5.0,1.1142,0.3094,2.4334,-0.20218099999999994,-1.576248,-0.8626259999999999,210.0,161.0,301.0,24.0,22.0,12.0,212.0,376.0,144.0,23.0,11.0,27.0,2,1.0,206,2.0,0
9,6,9,1,0.0,,,,0.0,5.0,0.0,,,4.7,,,,,49.0,,1.0,0.0,2.7,,14.0,,,,,90.0,,,0.0,,0.0,0.0,,0.0,6.0,0.0,44236.0,,,,1.0,0.0,8.0,1.0,-3447.0,953.0,4400.0,54.0,True,,1.0,True,6,9.0,True,1,Arsenal,4,1210,1160,1230,1190,1250,1240,9,Leicester,4,1230,1190,1230,1200,1240,1200,3,False,True,False,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,9.0,59.0,10.0,3.0,8.0,6.4,1.4,6.8,1.8,0.0,3.4,0.0,0.0,0.0,0.8,0.1,1.0,46661.0,53027.0,53341.0,1557.0,3893.0,3582.0,8973.0,7263.0,12484.0,-7416.0,-3370.0,-8902.0,5.0,3.0,5.0,1330.0,1140.0,1330.0,1350.0,1160.0,1350.0,1250.0,1130.0,1250.0,1310.0,1160.0,1310.0,1330.0,1020.0,1320.0,1340.0,1050.0,1340.0,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,3.0,4.0,3.0,7.0,3.0,11.0,0.8435999999999999,1.8925,0.3972,-0.5919079999999999,0.5221370000000001,-1.56017,346.0,167.0,502.0,17.0,12.0,14.0,311.0,445.0,256.0,23.0,23.0,29.0,0.671595,0.456022,2.86721,0.873776,2.03227,1.44633,0.671595,0.456022,0.583704,0.873776,2.03227,1.44633,4.0,2.0,3.0,7.0,3.0,5.0,1.1142,0.3094,2.4334,-0.20218099999999994,-1.576248,-0.8626259999999999,210.0,161.0,301.0,24.0,22.0,12.0,212.0,376.0,144.0,23.0,11.0,27.0,2,1.0,206,1.0,0
10,6,9,1,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,49.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,,0.0,0.0,,0.0,6.0,0.0,630.0,,,,1.0,0.0,0.0,0.0,-19.0,53.0,72.0,44.0,True,,0.0,True,6,9.0,True,1,Arsenal,4,1210,1160,1230,1190,1250,1240,9,Leicester,4,1230,1190,1230,1200,1240,1200,0,False,True,False,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,667.0,705.0,45.0,31.0,69.0,95.0,86.0,152.0,-50.0,-55.0,-83.0,5.0,3.0,5.0,1330.0,1140.0,1330.0,1350.0,1160.0,1350.0,1250.0,1130.0,1250.0,1310.0,1160.0,1310.0,1330.0,1020.0,1320.0,1340.0,1050.0,1340.0,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,0.838322,0.667131,1.17817,1.43023,0.144994,2.73834,3.0,4.0,3.0,7.0,3.0,11.0,0.8435999999999999,1.8925,0.3972,-0.5919079999999999,0.5221370000000001,-1.56017,346.0,167.0,502.0,17.0,12.0,14.0,311.0,445.0,256.0,23.0,23.0,29.0,0.671595,0.456022,2.86721,0.873776,2.03227,1.44633,0.671595,0.456022,0.583704,0.873776,2.03227,1.44633,4.0,2.0,3.0,7.0,3.0,5.0,1.1142,0.3094,2.4334,-0.20218099999999994,-1.576248,-0.8626259999999999,210.0,161.0,301.0,24.0,22.0,12.0,212.0,376.0,144.0,23.0,11.0,27.0,2,1.0,206,0.0,0
